tipe_entitas,nama_entitas,tahun,nilai
"Kontraktor","Kaltim Prima Coal, PT",2006,84414
"Kontraktor","Kartika Selabumi Mining, PT",2006,
"Kontraktor","Kendilo Coal Indonesia, PT",2006,
"Kontraktor","Kideco Jaya Agung, PT",2006,546056
"Kontraktor","Lanna Harita Indonesia, PT",2006,197910.48
"Kontraktor","Mahakam Sumber Jaya, PT",2006,
"Kontraktor","Mandiri Intiperkasa, PT",2006,
"Kontraktor","Mantimin Coal Mining, PT",2006,
"Kontraktor","Marunda Graha Mineral, PT",2006,
"Kontraktor","Multi Harapan Utama, PT",2006,98535
"Kontraktor","Multi Tambangjaya Utama, PT",2006,
"Kontraktor","Nusantara Termal Coal, PT",2006,15758.99
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2006,
"Kontraktor","Perkasa Inakakerta, PT",2006,
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2006,
"Kontraktor","Riau Bara Harum, PT",2006,
"Kontraktor","Santan Batubara, PT",2006,
"Kontraktor","Senamas Energindo Mulia, PT",2006,
"Kontraktor","Singlurus Pratama, PT",2006,
"Kontraktor","Sumber Kurnia Buana, PT",2006,
"Kontraktor","Tanito Harum, PT",2006,
"Kontraktor","Tanjung Alam Jaya, PT",2006,
"Kontraktor","Teguh Sinar Abadi, PT",2006,
"Kontraktor","Trubaindo Coal Mining, PT",2006,334202
"Kontraktor","Wahana Baratama Mining, PT",2006,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2006,
"Kuasa Pertambangan Swasta","Prov. Jambi",2006,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2006,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2006,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2006,
"Kuasa Pertambangan Swasta","Prov. Riau",2006,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2006,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2006,
"BUMN","Bukit Asam",2007,1875
"BUMN","Bukit Asam - Ombilin",2007,2975
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2007,
"Kontraktor","Adaro Indonesia, PT",2007,852467
"Kontraktor","Allied Indo Coal, PT",2007,
"Kontraktor","Antang Gunung Meratus, PT",2007,34732.98
"Kontraktor","Arutmin Indonesia, PT",2007,173769
"Kontraktor","Asmin Koalindo Tuhup, PT",2007,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2007,66351
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2007,33773.44
"Kontraktor","Baramarta, PD",2007,
"Kontraktor","Baramulti Suksessarana, PT",2007,
"Kontraktor","Batualam Selaras, PT",2007,
"Kontraktor","Berau Coal, PT",2007,10765
"Kontraktor","Borneo Indobara, PT",2007,
"Kontraktor","Firman Ketaun Perkasa, PT",2007,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2007,121065.86
"Kontraktor","Indominco Mandiri, PT",2007,179443
"Kontraktor","Insani Bara Perkasa, PT",2007,146.62
"Kontraktor","Interex Sacra Raya, PT",2007,18262.51
"Kontraktor","Intitirta Primasakti, PT",2007,
"Kontraktor","Jorong Barutama Greston, PT",2007,141944
"Kontraktor","Kadya Caraka Mulia, PT",2007,
"Kontraktor","Kalimantan Energi Lestari, PT",2007,4309
"Kontraktor","Kaltim Prima Coal, PT",2007,244917
"Kontraktor","Kartika Selabumi Mining, PT",2007,
"Kontraktor","Kendilo Coal Indonesia, PT",2007,
"Kontraktor","Kideco Jaya Agung, PT",2007,419264
"Kontraktor","Lanna Harita Indonesia, PT",2007,79131.8
"Kontraktor","Mahakam Sumber Jaya, PT",2007,28613
"Kontraktor","Mandiri Intiperkasa, PT",2007,163561
"Kontraktor","Mantimin Coal Mining, PT",2007,
"Kontraktor","Marunda Graha Mineral, PT",2007,
"Kontraktor","Multi Harapan Utama, PT",2007,90809
"Kontraktor","Multi Tambangjaya Utama, PT",2007,
"Kontraktor","Nusantara Termal Coal, PT",2007,34861.7
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2007,
"Kontraktor","Perkasa Inakakerta, PT",2007,
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2007,
"Kontraktor","Riau Bara Harum, PT",2007,544.77
"Kontraktor","Santan Batubara, PT",2007,
"Kontraktor","Senamas Energindo Mulia, PT",2007,3854.21
"Kontraktor","Singlurus Pratama, PT",2007,
"Kontraktor","Sumber Kurnia Buana, PT",2007,
"Kontraktor","Tanito Harum, PT",2007,
"Kontraktor","Tanjung Alam Jaya, PT",2007,
"Kontraktor","Teguh Sinar Abadi, PT",2007,15963
"Kontraktor","Trubaindo Coal Mining, PT",2007,272769
"Kontraktor","Wahana Baratama Mining, PT",2007,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2007,
"Kuasa Pertambangan Swasta","Prov. Jambi",2007,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2007,
